# k                                 a                                 b                                 c
  0   -0.7071068948859229319481300990    1.4143444883876270523614948615    1.3919235053411587177407682248
  1   -0.6615608759822015905172065686    1.4999218053356742075266083702    1.2995070134432655795109212704
  2   -0.6134314760153039003398589557    1.5796419597325837003154447302    1.2020159744667275880658507958
  3   -0.5629066392621213665847790253    1.6531936460813199119002092630    1.0998310888365570026081741162
  4   -0.5101836641289341223171049933    1.7202896466208130732411518693    0.9933513863385693420937627707
  5   -0.4554684327053550862984820924    1.7806679529048210497421678156    0.8829926679336494999006390572
  6   -0.3989746067991763456284104450    1.8340927889393583427590783685    0.7691858820580819156020879745
  7   -0.3409227935915825069557172355    1.8803555318830404985419590957    0.6523754417733773625087678738
  8   -0.2815396841708289743522186654    1.9192755267147134645711048506    0.5330174893491250731614172764
  9   -0.2210571683083933647306906778    1.9507007916874101738358149305    0.4115781150367183727212250233
 10   -0.1597114289343807280729947706    1.9745086118139880682065268047    0.2885315369921954697929322720
 11   -0.0977420198482356061830955696    1.9906060180662805692008987535    0.1643582494704484420200429895
 12   -0.0353909302662816990792116201    1.9989301504173946355535917974    0.0395431465020313482883196343
 13    0.0270983601409890938194191534    1.9994485033086339953456445073   -0.0854263716073167672648835946
 14    0.0894818320318196136486932346    1.9921590525830481510638492182   -0.2100623015636907953140877225
 15    0.1515158792834948031647002153    1.9770902633897193823031557258   -0.3338779427279708333919927554
 16    0.2129582602690379411480847693    1.9543009790279555204506323207   -0.4563897976704538450576364994
 17    0.2735690438055794482252736088    1.9238801911655514231824781746   -0.5771194602208803425824612532
 18    0.3331115460804918160242493741    1.8859466923280479022650979459   -0.6955954836284945486113429070
 19    0.3913532548966131008327806740    1.8406486120166221098770620301   -0.8113552215587939153706997786
 20    0.4480667376274002355884817916    1.7881628382655350151253514923   -0.9239466347116831457242369652
 21    0.5030305293364696339608599374    1.7286943268980792254296829924   -1.0329300560297269839793443680
 22    0.5560299975934330785065640157    1.6624753011784605405409820378   -1.1378799075828283093869686127
 23    0.6068581806089463626108226890    1.5897643449850136221357388422   -1.2383863624478785858684659615
 24    0.6553165954160671269335125544    1.5108453930457130809372756630   -1.3340569450689749864125133172
 25    0.7012160129419932053096431446    1.4260266221790232066268799827   -1.4245180638718011323362588882
 26    0.7443771969435426516525922125    1.3356392478698353443178348243   -1.5094164701149566099047660828
 27    0.7846316039208468540167018546    1.2400362308808325906284153461   -1.5884206373496756459218204327
 28    0.8218220412761125803768891274    1.1395908989470910910313250497   -1.6612220559836714528501033783
 29    0.8558032811473492706966226251    1.0346954889404855748580303043   -1.7275364380414732767832219906
 30    0.8864426275200658622566152189    0.9257596151922768967779120430   -1.7871048272766831832569778271
 31    0.9136204344023644008387918802    0.8132086699582146138709504157   -1.8396946104088176543456256695
 32    0.9372305730399800305363555708    0.6974821622707452206668676808   -1.8851004254538565874099731445
 33    0.9571808463467945671254710760    0.5790320016659222801536088809   -1.9231449636802910863053739376
 34    0.9733933489324854138047271590    0.4583207334858627746143611148   -1.9536796619783367567890763894
 35    0.9858047713214049823093887426    0.3358197326498384427395649254   -1.9765852830084136293464780465
 36    0.9943666471747324431262882172    0.2120073629443481877387966961   -1.9917723808042258060169160672
 37    0.9990455425504858322227619283    0.0873671090235461633710656315   -1.9991816500793597732865691796
 38    0.9998231864623524645097063512   -0.0376143115882712208986049518   -1.9987841577931249048560857773
 39    0.9966965422274975949790132290   -0.1624488491182489724451443180   -1.9905814561473864632290542431
 40    0.9896778193247486310468730153   -0.2866490273689521472988417372   -1.9746055765111425461810767956
 41    0.9787944257168378348055171045   -0.4097298473021169229468796402   -1.9509189043553001319253326074
 42    0.9640888608228973533087469150   -0.5312106809497834092326229438   -1.9196139356293617783677518673
 43    0.9456185495591364897904895770   -0.6506171482564298003126168624   -1.8808129155671242660474717923
 44    0.9234556180957718130031253168   -0.7674829695224616443738341331   -1.8346673613159509841352701187
 45    0.8976866122058763108881862536   -0.8813517862168112060317071155   -1.7813574702825765161406934567
 46    0.8684121593059885846344059246   -0.9917789430470520528615452349   -1.7210914164473554155421197720
 47    0.8357465755082029712497160290   -1.0983332243288828067306894809   -1.6541045374663856382113635846
 48    0.7998174192182004871298772741   -1.2005985378744128411199199036   -1.5806584156610672398102224179
 49    0.7607649930224023027136581732   -1.2981755398225232056574895978   -1.5010398565718787722289562225
 50    0.7187417958093733627578103551   -1.3906831940688277882145484909   -1.4155597689629453306281448022
 51    0.6739119272649257696983227106   -1.4777602602031834067020099610   -1.3245519507509015966206789017
 52    0.6264504470663576629618773950   -1.5590667041458914354734588414   -1.2283717855134455021470785141
 53    0.5765426912781590473855430901   -1.6342850259731562800880055875   -1.1273948547447312229508042947
 54    0.5243835486186472216729725915   -1.7031214997480503825499908999   -1.0220154711932991631329059601
 55    0.4701766994236914465332688451   -1.7653073205135569878621026874   -0.9126451390996710433256566830
 56    0.4141338202793606315665897455   -1.8205996539703761527562164702   -0.7997109472677644825822085295
 57    0.3564737574293850297380004122   -1.8687825847396339895567507483   -0.6836539013008101628443569098
 58    0.2974216721852566691630670448   -1.9096679595078143165665096603   -0.5649272014791979490411222287
 59    0.2372081616761277378380157188   -1.9430961217613997860098606907   -0.4439944730259715588438496070
 60    0.1760683583719550859836289192   -1.9689365352421503985169692896   -0.3213279556560640348727986293
 61    0.1142410118962377818530029572   -1.9870882936883980107722891262   -0.1974066594968159338296942451
 62    0.0519675567138460081650919165   -1.9974805148718779435057513183   -0.0727144945565214584348723292
 63   -0.0105088306653973260346157659   -2.0000726173912655170283869666    0.0522616189290753610507955784
